,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
0165,b108145785,,ML111.5.O8 1979,,,NYPG83-B65818,*L 83-2181,,,,,
1293,b221402172,,ML111.5.R87 1980,,,NYPG82-B180,*L 81-2564,,,,,
0332,b113866173,,ML111.F64 1987,,,NYPG90-B100292,JMD 90-618,,,,,
0051,b103194939,,ML111.H7 1976,,,NYPG764822978-B,JMD 76-350,,,,,
0038,b102634178,,ML111.K78 1974,Krummel,,NYPG754513274-B,JMF 75-335,,,,,
0319,b19618812x,,ML111.N38 2011,National,TRUE,793730140,JMF 12-402,,,,,
1057,b164541585,,ML111.S596 2006,Smiraglia,,62290636,JMD 06-1112,,,,,
0056,b103371503,,ML111.W4 1976,,,NYPG774113167-B,JNF 77-25,,,,,
0627,b125510573,,ML112.5.P33 1995,,,32384303,JNF 96-202,,,,,
0102,b106302061,,ML112.5.P74 1978,,,NYPG804194342-B,JND 80-11,,,,,
0727,b13726673x,,ML112.5.S46 1997,,,36215093,JMF 98-658,,,,,
0810,b143891182,,ML112.D4 1946,,,1289208,"*MFP (Deutsch, O. E. Music publishers' numbers)",,,,,
0828,b144500115,,ML112.D53 1941,,,854322,"*MFBR (U.S.) (Dichter, H. Early American sheet music)",,,,,
0812,b143893531,,ML112.H7 1954,Hopkinson,,2028687,"*MFPB (France)(Hopkinson, C. Dictionary of Parisian music publishers)",,,,,
0001,b100259376,,ML112.H8 1970,"Humphries, Charles",TRUE,NYPG700463083-B,*R-Music 70-16,,,,,
0462,b117299054,,ML112.K765 1992,,,NYPG93-B31546,JME 93-174,,,,,
0811,b143893312,,ML112.N44 1965,,,854533,"*MFPB (England)(Neighbour, O. W. English music publishers' plate numbers)",,,,,
0186,b126375926,,ML112.T39 1995,Taylor,TRUE,37015419,*LE 97-578,,,,,
0203,b13329691x,,ML112.W45 1997,Whitsett,TRUE,37894024,JMF 97-864,,,,,
1009,b161685857,,ML112.W58 2005,,,58546277,JME 06-36,,,,,
0114,b106905867,,ML112.W64 1980,,,NYPG804906420-B,JNE 81-1,,,,,
0270,b154901581,,ML113.A5 1963,American,TRUE,NYPG02-B3548,*R-Music (ASCAP index of performed compositions),,,,,
0035,b102560717,,ML113.B39 1975,,,NYPG754430432-B,JMD 75-190,,,,,
0659,b129528766,,ML113.B86 1997,,,36179010,JMF 97-214,,,,,
0082,b105333578,,ML113.C655 I6,,,NYPG794041752-B,*L 75-1780,,,,,
0662,b130112185,,ML113.D83 1997,,,36640725,JME 97-510,,,,,
0003,b100401090,,ML113.F8 1971,"Fuld, James J",TRUE,NYPG720024138-B,*L 02-630,,,,,
0862,b149275584,,ML113.F8 2000,,,44094056,JMD 01-91,,,,,
0899,b154758553,,ML113.H52 1980,,,NYPG02-B3263,*R-Music 82-410,,,,,
0657,b129300895,,ML113.H55 1997,,,35822541,"JMF 97-157;""JMF 97-158""",,,,,
1083,b165679670,,ML113.H695 2007,,,71812783,JMF 07-1126,,,,,
0240,b144351754,,ML113.I6 Sigla,RISM,TRUE,43254597,JME 99-747 Cop. 2 in NYPM Special Collections,,,,,
0671,b131627259,,"ML113.I6 vol. AI, 1",Répertoire,,42349061,"*R-Music (International inventory of musical sources. EinzeldrÃ¼cke vor 1800);""*MC (International inventory of musical sources. EinzeldrÃ¼cke vor 1800)""",,,,,
0706,b13484970x,,"ML113.I6 vol. AI, 1-12",,,NYPG98-B123,"JML 98-4 cop. 2 in Special Collections;""*MC (International inventory of musical sources. Einzeldrucke vor 1800) Library has: 1971-""",,,,,
0224,b143395312,,ML113.I6 vol. BI,Recueils,TRUE,9471550,"*R-Music;""*MC (International Inventory of Musical Sources. Recueils imprimÃ©s XVIe-XVIIe siÃ¨cles)""",,,,,
0781,b143395361,,ML113.I6 vol. BII,,,775382,"*R-Music;""*MC (International Inventory of Musical Sources. Recueils imprimÃ©s","XVIIIe siÃ¨cle)""",,,,
0307,b112885512,,"ML113.I6 vol. BIII, 1-4, 6",,,NYPG90-B46460,JML 90-119,,,,,
0199,b132638836,yes,"ML113.I6 vol. BIII, 5",Theory,TRUE,37505773,"*R-Music 97-839;""JME 97-597--Additional copy""",,,,,
0126,b118471375,,"ML113.I6 vol. BIV, 1-2 Suppl.",Wathey,TRUE,NYPG94-B9994,"*R-Music 94-282;""JME 94-91""",,,,,[supp. british isles?]
0008,b101416258,,"ML113.I6 vol. BIV, 3-4",Handschriften,FALSE,NYPG744173369-B,"*R-Music 73-1517;""JME 73-43""",,,917549 oclc,,
0388,b115065696,,"ML113.I6 vol. BIV, 5",,,NYPG91-B81761,"*R-Music 91-2154;""JME 91-571""",,,,,
0333,b113894673,,"ML113.I6 vol. BIX, 1",,,NYPG90-B13597,*R-Music 90-979,,,,,
0045,b102969838,,"ML113.I6 vol. BIX, 2",,,NYPG764582219-B,"*R-Music 83-870;""JME 76-111"";""*PVO 76-3728""",,,,,
0782,b143395427,,"ML113.I6 vol. BV, 1",,,774703,"JME 00-695;""*MC (International Inventory of Musical Sources. Tropen- und Sequenzenhandschriften)""",,,,,
0779,b14339521x,,ML113.I6 vol. BVI,,,279383,"*R-Music (Lesure, F. Ã‰crits imprimÃ©s concernant la musique);""*MC (International Inventory of Musical Sources. Ã‰crits imprimÃ©s concernant)""",,,,,
0097,b106109753,,ML113.I6 vol. BVII,,,NYPG795002965-B,*R-Music 79-45,,,,,
0766,b141949399,,"ML113.I6 vol. BVIII, 1",,,NYPG764520081-B,"JML 99-41 Library has: Bd. 1, T. 1-2 Abt. 3, Bd. 1, T. 1-3, Bd. 2-4;""JML 76-25 Library has: Bd. 1","T. 1""",,,,
0113,b106873283,,ML113.I6 vol. BX,,,NYPG804869482-B,"*R-Music 80-1095;""JME 80-223.""",,,,,
0277,b158791563,,"ML113.I6 vol. BX, A",Shiloah [ML113 ML136.A1],TRUE,53875818,JME 04-135,,,,,
0324,b113512570,,ML113.I6 vol. BXI,,,NYPG89-B17221,"*R-Music 89-1256;""JME 89-71""",,,,,
0173,b124106948,,ML113.I6 vol. BXII,Massoudieh,TRUE,34508216,JME 96-195,,,,,
1222,b201575267,,"ML113.I6 vol. BXIII, A",,,821265645,JML 14-5,,,,,
0239,b144351675,yes,ML113.I6 vol. BXIV,Huglo,TRUE,43321454,JML 00-1 Library has: v. 1-2,,,,,
1028,b162960682,,ML113.I6 vol. BXV,,,62185999,JME 06-40,,,,,
0885,b153754023,,ML113.I6 vol. CI,,,5341917,"JML 02-10 Library has: v. 2-3, pt. 1.",,,,,
0751,b139272525,,ML113.J35,,,1475313,JMF 98-952,,,,,
0250,b11091420x,,ML113.P34 1987,,,NYPG87-B21671,JME 87-127,,,,,
0227,b143433817,,ML113.P39,Pazdírek,TRUE,42581661,"*MC (PazdÃ­rek, F. Universal-Handbuch der Musikliteratur)",,,,,
0619,b125048701,,ML113.P85 1996,,,34738684,JMM 99-75 Library has: v. [1]-2,,,,,
0228,b143434470,,ML113.R436,Reaney,TRUE,42582250,"*R-Music;""*MC (International Inventory of Musical Sources. Manuscripts of polyphonic music)""",,,,,
1322,b221979116,,ML113.S28 2012,,,795575224,JME 13-168,,,,,
1236,b20334439x,,ML113.S46 2015,Scott,,881721228,JME 15-349,,,,,
0109,b106587730,,ML113.T95,,,NYPG804536704-B,JME 80-170,,,,,
0912,b15488442x,,ML113.W45 1987,,,NYPG89-B14181,JMM 79-32 no. 25,,,,,
0222,b143394071,,ML116.E36,Eitner,TRUE,21844978,"*MC (Eitner, R. Verzeichniss neuer Ausgaben alter Musikwerke);""Drexel 968"";""Drexel 969""",,,,,
0121,b118134632,,ML118.M8,Music,TRUE,7729217,*MC (Music index. Annual cumulation),,,,,
0105,b116849150,,ML12.D57 1992,Directory,TRUE,NYPG93-B9044,JND 93-10,,,,,
0172,b123941659,,ML12.G74 1995,Greenman,TRUE,33987032,"*LE 96-423;""JME 96-154""",,,,,
0195,b13049642x,,ML12.J39,Jazz,TRUE,37041391,JML 97-16,,,,,
0082,b114086060,,ML12.L58,Living blues,TRUE,NYPG90-S7507,JML 90-35 Library has: 1991/92-,,,,,
0258,b153184103,,ML12.M87,Music,TRUE,48852141,*LAD 02-43,,,,,
1029,b162961170,,ML12.M88,,,62706541,JMM 06-5,,,,,
0411,b115593858,,ML12.O63 1992,,,NYPG92-B38947,JME 92-236,,,,,
0269,b111739081,,ML12.T87 1987,,,NYPG88-B27678,JMD 88-219,,,,,
0279,b112131219,,ML12.U8 1988,,,NYPG88-B81617,JMF 88-1034,,,,,
0129,b11857064x,,ML12.W44,Wheeler,TRUE,32852776,*LAD 95-884,,,,,
0254,b110989612,,ML12.W5 1985,,,NYPG87-B32408,*R-Phono 88-7917,,,,,
0804,b143809027,,ML12.Z54 1999,,,40305582,JMF 00-11,,,,,
1296,b221427843,yes,ML120.A35 G7 1991,,,NYPG91-B33929,JME 92-368,"J. African music)""",,,,
1273,b215820381,yes,ML120.A35 G72 2018,,,1023490047,JME 18-361,"J. Music of Sub-Saharan Africa)""",,,,
0738,b13833853x,yes,ML120.A35 L4 1991,,,NYPG92-B16188,JNE 93-94,,,,,
0968,b158844038,yes,ML120.A75 M2 2004,,,vendor,JMD 04-525,,,,,
0313,b180128577,yes,ML120.A9 S77 2008,Strauss,TRUE,299688249,"JMM 09-6 Library has: Teilband A, Leiferung 1",,,,,
1224,b201717414,yes,ML120.B7 G73 2014,,,879287388,JME 14-410,"J. Afro-Brazilian Music)""",,,,
1243,b207315085,yes,ML120.C25 G73 2015,,,904652465,JME 15-364,,,,,
1211,b199564954,yes,ML120.F7 P57 2013,,,853276908,JMD 13-465,,,,,
0867,b149482085,yes,ML120.G7 P68 2000,,,43599031,JME 00-940,,,,,
0318,b193753121,yes,ML120.J35 G73 2011,Gray,TRUE,671531721,JME 11-970,,,,,
0803,b14379839x,yes,ML120.S7 C47 1962,,,398601,"*MFBR (Latin America) (Chase, G. Guide to the music of Latin America)",,,,,
0271,b154901593,yes,ML120.U5 A44 1981,American,TRUE,NYPG87-B5538,JNG 79-40 suppl. 1981,,,,,
0086,b105434504,yes,ML120.U5 A53 1978,,,NYPG794152670-B,JNG 79-40,,,,,
1295,b221419676,yes,ML120.U5 C6 1988,,,NYPG88-B85562,JNE 88-48,,,,,
0830,b144518375,yes,ML120.U5 F85 1955,Fuld [American popular music; (reference book) 1875-1950],,820378,JNF 19-36,,,,,
0241,b144518387,yes,ML120.U5 F85 1956,"Fuld [American popular music reference book, 1875-1950 / by James J. Fuld.]",TRUE,37247017,"*MFHB (U.S.) (Fuld, J. J. Supplement to American popular music);""JME 98-36""",,,,,
0112,b106808977,yes,ML120.U5 J6 1979,,,NYPG804798556-B,JNL 77-1 no. 4,,,,,
0266,b111653770,yes,ML120.U5 K78 1987,,,NYPG88-B15451,JNE 88-17,,,,,
0770,b142703138,yes,ML120.U5 P54,,,10040850,"*KAC (Library company of Philadelphia. American song sheets);""*R-Music""",,,,,
0057,b111512426,yes,ML120.U5 P67,Popular,TRUE,779672,"*R-Music 87-684 Library has:1950/59-2002.;""*R-Phono 75-1322 Library has: 1950/59-2002.""",,,,,
0168,b108191047,yes,ML120.U5 R47,,,NYPG83-B70659,"JNF 83-46;""JNF 89-48""",,,,,
0223,b11015583x,yes,ML120.U5 S5 1985,,,NYPG86-B28115,"*R-Music 86-4261;""*R-Phono 87-183""",,,,,
0019,b103412086,yes,ML120.U5 S66 1971,Sonneck,TRUE,NYPG774157866-B,JNE 77-4,,,,,
0350,b114167461,yes,ML120.U5 W18 1988,,,NYPG91-B19715,JNL 77-1 no. 12,,,,,
0753,b139283328,yes,ML120.U5 W57,,,855811,"JMF 98-961;""*MC (Wolfe. Secular music in America)"";""JFF 02-3645"";""*HND (NYPL) (Wolfe","R. Secular music in America)""",,,,
0026,b105721700,,ML1255.D6 1976,Downes,TRUE,NYPG794465166-B,JME 78-173,,,,,
0481,b117866830,,ML1255.S83 1992,,,NYPG93-B61261,JME 93-490,,,,,
0746,b138862102,,ML1263.S74 1998,,,37917319,JME 98-996,,,,,
1027,b162956265,yes,ML128.A54 C74 2006,Crew,,62127761,JME 06-132,,,,,
0370,b114738798,yes,ML128.A7 D5 1991,Diamond,,NYPG91-B54919,JME 91-417,,,,,
1279,b217889840,yes,ML128.A7 P28 2019,Parker,,1081306572,JME 19-224,,,,,
0605,b124019109,yes,ML128.A7 P4 1995,Perone,,32665698,JMD 96-112,,,,,
0096,b115365515,yes,ML128.B23 R44,Rehrig,TRUE,NYPG92-B20556,JMF 92-182,,,,,
0339,b113931980,yes,ML128.B3 C37 1990,Carner,,NYPG90-B81498,"JME 90-332;""Sc *781.016-C (Carner","G. Jazz performers)""",,,,
1248,b208503596,yes,ML128.B45 C3 1986,Carter,,13364780,JME 15-569,,,,,
0123,b10727808x,yes,ML128.B45 D44,De Lerma,,NYPG82-B11366,"JMM 82-7 Library has: Vol. 1-4.;""Sc *781.016-D (De Lerma","D. Bibliography of Black music)""",,,,
1298,b22143429x,yes,ML128.B45 G73 1988,Gray,,NYPG89-B6755,"JNE 88-38;""Sc *781.016-G (Gray","J. Blacks in classical music)""",,,,
1341,b231638504,yes,ML128.B45 G73 2023,Gray,,1380875508,JME 23-48,,,,,
0421,b116482400,yes,ML128.B45 H68 1992,Horne,,NYPG92-B77619,JME 92-516,,,,,
0122,b107270249,yes,ML128.B45 S6,Skowronski,,NYPG82-B10651,"Sc *781.016-S (Skowronski, J. Black music in America);""JND 83-41""",,,,,
0264,b111416838,yes,ML128.B49 H3 1989,Hart,,NYPG87-B98820,JND 89-56,,,,,
0280,b159410927,yes,ML128.C4 B67,Born,TRUE,52925665,JMD 05-135,,,,,
0898,b154758462,yes,ML128.C4 B7 1965,British Broadcasting Corporation. Music Library,,NYPG02-B3258,*R-Music (British Broadcasting Corporation. Chamber music catalogue. Bibliographies music repertoire general),,,,,
1037,b163416540,yes,ML128.C4 H5 2006,Hinson,,vendor 2005021646,JME 06-510,,,,,
0470,b117522156,yes,ML128.C4 R3 1993,Rangel-Ribeiro,,NYPG93-B41605,JMF 93-688,,,,,
0641,b126300483,yes,ML128.C4 S43 1996,Secrist-Schmedes,,33665729,JMD 96-679,,,,,
1039,b163441534,yes,ML128.C4 W56 2004,Winther,,57418779,JMF 06-1217,,,,,
0321,b199613126,yes,ML128.C48 G45 2012,Geisler,TRUE,858812356,JME 14-85,,,,,
1290,b220966588,yes,ML128.C48 G74 2020,Green,,1104321715,JMF 20-113,,,,,
1058,b164557477,yes,ML128.C48 R67 2007,Rosewall,,65301778,JME 06-1041,,,,,
1190,b196869638,yes,ML128.C48 S53 2011,Sharp,,277195963,JME 13-102,,,,,
1283,b219433227,yes,ML128.C48 S53 2019,Sharp (MARC 700),,1085598161,JME 19-327,,,,,
1256,b210877406,yes,ML128.C54 S43 2016,Sharp (MARC 700),,936549175,JNE 16-132,,,,,
0450,b117107608,yes,ML128.C62 D4 1988,Davis,,NYPG93-B20241,JME 93-37,,,,,
0452,b117114649,yes,ML128.C62 D4 1988 Suppl.,Davis,,NYPG93-B21305,JME 93-37 suppl. 1,,,,,
0306,b11288488x,yes,ML128.C62 W37 1989,Waters,,NYPG90-B46379,JME 90-6,,,,,
0320,b198362146,yes,ML128.D3 G73 2013,Gray,TRUE,840897781,JME 13-279,,,,,
0310,b112964023,yes,ML128.D3 S3 1982,Schönherr,,NYPG90-B55201,JMD 90-295,,,,,
0940,b155453956,yes,ML128.D56 A45,Allen (MARC 700),,NYPG02-B5181,*R-Phono 78-184,,,,,
0298,b112469930,yes,ML128.D56 G7 1989,Gray,,NYPG89-B84457,*L 89-8114,,,,,
0188,b128569475,yes,ML128.E4 H45,Hein,TRUE,36678672,JMD 97-211,,,,,
0132,b107368262,yes,ML128.E4 T55,Tjepkema,,NYPG82-B19605,JME 82-24,,,,,
0655,b128808044,yes,ML128.E4 W53 1997,Wick,,35548983,JNE 96-65,,,,,
1188,b196242630,yes,ML128.E8 P67 2011,Post,,693207775,JME 12-834,,,,,
0501,b118382718,yes,ML128.F74 B64 1996,Bohlman,,34553430,JMD 96-680,,,,,
0970,b159034449,yes,ML128.F74 F54 1997,Fleischmann (MARC 700),,37011302,JMF 04-404,,,,,
0247,b110888261,yes,ML128.F74 M5 1986,Miller,,NYPG87-B17850,JND 87-15,,,,,
0125,b107299963,yes,ML128.F75 B83,Brunnings,,NYPG82-B13367,JMF 81-866,,,,,
0741,b13856498x,yes,ML128.F75 K44 1997,Keeling,,35521676,*L 98-1266,,,,,
0990,b160407795,yes,ML128.G8 M45 1985,McCutcheon,,9895449,JMF 05-138,,,,,
1176,b194805268,yes,ML128.G8 S74 2010,Stenstadvold,,645679029,JMF 12-107,,,,,
0886,b153798014,yes,ML128.H3 P33 2002,Palkovic,,vendor,JMD 02-411,,,,,
1254,b21043692x,yes,ML128.H67 D46 2016,Dempf,,910088039,JME 16-449,,,,,
0413,b115596707,yes,ML128.H8 B68 1989,Britton,,NYPG92-B39538,JNF 91-262,,,,,
0253,b150045414,yes,ML128.H8 K76 2000,Kroeger,TRUE,45745423,JMF 01-536,,,,,
0713,b135631701,yes,ML128.H8 T46 1998,Temperley,,37141264,JMF 00-244,,,,,
0075,b104948231,yes,ML128.I65 B3 1975,Barlow,,NYPG784391030-B,"*R-Music;""*LE 16-1863""",,,,,
0775,b143385100,yes,ML128.I65 B77,Brown,,225180,"*MC (Brown, H. M. Instrumental music);""*R-Music (Brown","H. M. Instrumental music)""",,,,
0040,b102820600,yes,ML128.I65 P33,Parsons,,NYPG754716236-B,JME 75-242,,,,,
0031,b102211231,yes,ML128.J3 C4,Carl Gregor,,NYPG754044445-B,JNE 75-4,,,,,
0386,b115033932,yes,ML128.J3 G73 1991,Gray,,NYPG91-B77496,"JME 91-593;""Sc *781.016-G (Gray","J. Fire music)""",,,,
0325,b220112368,yes,ML128.J3 G73 2013,Gray,TRUE,1100445089,"Sc *781.016-G (Gray, J. Creative improvised music);""JME 19-408""",,,,,
1336,b226032711,yes,ML128.J3 H46 2022,Henry,,1240263422,JME 22-54,,,,,
1141,b184045411,yes,ML128.J3 H63 2010,"Greenberg, Janice Leslie Hochstat-",,476362868,JNE 10-62,,,,,
1017,b16186952x,yes,ML128.J3 M34 2006,Meadows,,vendor,JME 05-786,,,,,
1274,b216069804,yes,ML128.J3 S39 2018,Schwartz,,1011560034,JME 18-365,,,,,
0376,b114881273,yes,ML128.J4 R8 1986,Ruben,,NYPG86-B31163,"*PAQ 91-4851;""JMD 00-1028""",,,,,
1194,b197085970,yes,ML128.M2 L49 2011,Lewis Hammond,,491891996,JME 13-111,,,,,
0483,b117975217,yes,ML128.M7 A5 1988,Anderson,,NYPG93-B69058,JMF 93-1426,,,,,
0484,b11797657x,yes,ML128.M7 B46 1993,Benjamin,,NYPG93-B69355,"JME 15-508;""MFLE 93-12599""",,,,,
0499,b11834982x,yes,ML128.M7 B6 1995,Bloom,,22765907,"MFL 95-8130;""JNF 96-23""",,,,,
0400,b115334440,yes,ML128.M7 B8,Burton,,NYPG92-B15697,"*R-Music;""MFLE 13-7032""",,,,,
0095,b115221438,yes,ML128.M7 I58 1991,International,TRUE,NYPG92-S194,JMM 92-8,,,,,
1329,b222749210,yes,ML128.M7 L35 2020,Lee,,1122689289,JMF 20-141,,,,,
0127,b107334343,yes,ML128.M7 L5 1981,Limbacher,,NYPG82-B165,JMD 81-160,,,,,
0419,b116432937,yes,ML128.M7 L5 1991,Limbacher,,NYPG92-B76297,"JMD 92-739;""*L 93-1672""",,,,,
0748,b139115341,yes,ML128.M7 M28 1998,Marill,,vendor,*L 98-13222,,,,,
0851,b147079330,yes,ML128.M7 M3 2000,McCarty,,39913040,JMF 00-575,,,,,
0167,b108183555,yes,ML128.M7 M38 1982,Meeker,,NYPG83-B69881,JMF 84-68,,,,,
1159,b188432620,yes,ML128.M7 S545 2011,Sherk,,557406110,*LE 11-2279,,,,,
0397,b115313497,yes,ML128.M7 S78 1991,Stubblebine,,NYPG92-B11866,JME 92-27,,,,,
0690,b133404730,yes,ML128.M7 S78 1997,Stubblebine,,vendor97015236,JME 97-678,,,,,
0956,b158325527,yes,ML128.M7 W75 2003,Wright,,vendor,JMD 04-124,,,,,
0572,b120627607,yes,ML128.M78 B6 1996,Bloom,,33865011,JNF 96-97,,,,,
0722,b136917276,yes,ML128.M78 D48 1998,DeVenney,,38200224,JMD 98-592,,,,,
1124,b18106148x,yes,ML128.M78 D48 2009,DeVenney,,316827845,JNE 09-173,,,,,
1196,b19709496x,yes,ML128.M78 E84 2011,Everett,,432989981,JME 13-85,,,,,
0060,b112013417,yes,ML128.M78 K73 1988,Krasker,TRUE,NYPG88-B66226,JNF 88-199,,,,,
0267,b111703335,yes,ML128.M78 S5 1987,Simas,,NYPG88-B22388,JNE 88-16,,,,,
0561,b12029770x,yes,ML128.M78 S78 1996,Stubblebine,,31377915,JNE 96-85,,,,,
0884,b153404371,yes,ML128.M78 S78 2002,Stubblebine,,47973320,JME 02-254,,,,,
0806,b143844404,yes,ML128.M78 S86 2000,Suskin,,39678239,JMF 99-1168,,,,,
1314,b221866759,yes,ML128.M78 S86 2010,Suskin,,430842358,JNF 10-18,,,,,
0249,b110900868,yes,ML128.M78 W56 1986,Wildbihler,,NYPG87-B19730,JME 87-198,,,,,
1174,b194250970,yes,ML128.M8 L5 2009,Liber amicorum,,427634207,JMF 12-176,,,,,
1013,b161826799,yes,ML128.M8 S68 2004,Speaking of music,,,JMF 12-133,,,,,
0048,b103058710,yes,ML128.N3 E34,Edwards,,NYPG764677880-B,*R-Music 79-1204,,,,,
1113,b179026239,yes,ML128.N3 E9,Ewen,,598027,"*R-Music (Ewen. American popular song. Song indexes);""Sc 016.78-E (Ewen","D. American popular songs from the Revolutionary War to the present."";""MWB 13-7037"";""*R-Phono (Ewen","D. American popular songs from the revolutionary War to the present)""",,,
0285,b161153227,yes,ML128.O4 B66 2004,Boosey,TRUE,60035202,JME 05-70,,,,,
0092,b115009012,yes,ML128.O4 C4 1990,Central,TRUE,NYPG91-B73742,JME 91-474,,,,,
1072,b165189307,yes,ML128.O4 C53 2007,Clark,,71812787,JME 07-594,,,,,
0747,b138963708,yes,ML128.O4 D76 Suppl.,Drone,,38286649,JMF 98-861,,,,,
0108,b106563270,yes,ML128.O4 G8,Gruber,,NYPG804501852-B,JML 80-15,,,,,
0315,b113076538,yes,ML128.O4 H68 1990,Hotaling,,NYPG90-B69481,JME 90-204,,,,,
1242,b206405509,yes,ML128.O4 K48 2004,Kaufman,,181940751,*R-Music,,,,,
0210,b109509742,yes,ML128.O4 M28 1984,Marco,,NYPG85-B5251,JMD 85-53,,,,,
0063,b10371800x,yes,ML128.O4 N7,Northouse,,NYPG764339226-B,JMD 76-175,,,,,
0291,b112325270,yes,ML128.O4 P3 1989,Pallay,,NYPG89-B63266,JME 89-290,,,,,
0033,b107717475,yes,ML128.O5 B75 1982,British Broadcasting,TRUE,NYPG83-B20320,*R-Music 84-69,,,,,
1333,b225591777,yes,ML128.O5 C44 2020,Chetel,,1121443464,JMF 21-245,,,,,
0235,b143811241,yes,ML128.O5 C46 1999,Cho,TRUE,42773933,JMF 99-1043,,,,,
1340,b228692088,yes,ML128.O5 D3 2022,Daniels,,1286071239,JMF 22-347,,,,,
0101,b106297624,yes,ML128.O5 F33,Farish,,NYPG804189579-B,JMF 00-959,,,,,
0223,b143394253,yes,ML128.O5 F57 1929,Fischer,TRUE,1285184,"*MC (Fischer. Carl Fischer analytical orchestra guide);""JMF 99-1165""",,,,,
1218,b199947442,yes,ML128.O5 M36 2013,Manning,,843785523,JMF 14-4,,,,,
1180,b196055829,yes,ML128.O5 M49 2011,Meyer,,YBP 2010043229,JMF 12-156,,,,,
0248,b148341585,yes,ML128.O5 O7 1999,Orchestral,TRUE,44563331,JMF 00-687,,,,,
0482,b11796881x,yes,ML128.O5 R2 1993,Rabson,,NYPG93-B68074,JME 93-544,,,,,
0012,b101085485,yes,ML128.O5 V6,Voorhees,,NYPG734291521-B,JMD 73-239,,,,,
0111,b117418900,yes,ML128.O6 S64 1992,Spelman,TRUE,NYPG93-B38053,JMF 93-854 [Collection shelved in JMG 83-29],,,,,
0290,b112315203,yes,ML128.P235 J3 1988,Jackson,,NYPG89-B61897,JMD 89-471,,,,,
0354,b114270211,yes,ML128.P24 I6 1990,International,,NYPG91-B34,JME 90-456,,,,,
1127,b181382738,yes,ML128.P3 C66 2009,Comeau,,148705613,JMD 12-573,,,,,
1223,b201714565,yes,ML128.P3 H5 2014,Hinson,,YBP 2013021515,JME 14-342,,,,,
1253,b21038587x,yes,ML128.P3 M2 2016,McGraw,,929331986,JME 16-420,,,,,
0325,b113650760,yes,ML128.P3 P34 1989,Palmieri,,NYPG89-B35285,JMD 89-384,,,,,
0245,b146350534,yes,ML128.P63 B56 2001,Bloom,TRUE,44120191,JMF 01-1529,,,,,
0404,b115384224,yes,ML128.P63 G66 1990,Goodfellow,,NYPG92-B24150,JMD 92-183,,,,,
0591,b123351625,yes,ML128.P63 H34 1995,Haggerty,,32468135,JME 96-114,,,,,
0229,b110324250,yes,ML128.P63 I95 1986,Iwaschkin,,NYPG86-B51469,JMD 86-241,,,,,
0760,b141435975,yes,ML128.P63 K55 1998,Kilgarriff,,39532698,JME 99-326,,,,,
0621,b125108734,yes,ML128.P63 L57 1996,Lissauer,,32273685,JNF 96-220,,,,,
0004,b100561895,yes,ML128.P63 M3 1971,"Mattfeld, Julius",TRUE,NYPG720359745-B,*R-Music 72-649,,,,,
1149,b185429002,yes,ML128.P63 M43 2010,Meadows,,YBP 2009042239,JME 10-717,,,,,
0340,b113962046,yes,ML128.P63 S95 1990,Suskin,,NYPG90-B86606,JNE 90-58,,,,,
0101,b116571391,yes,ML128.P63 T3 1989,Tagg,TRUE,NYPG93-B29,JMD 92-784,,,,,
0327,b113695780,yes,ML128.P63 T39 1985,Taylor,,NYPG89-B41601,JME 89-109,,,,,
1081,b165621850,yes,ML128.P63 T95 2007,Tyler,,76961274,JMF 07-1591,,,,,
1191,b196963199,yes,ML128.P69 S36 2012,Schneider,,802323773,JME 13-276,,,,,
0558,b120221962,yes,ML128.P7 W46 1994,Wenk,,30354078,JMD 95-575,,,,,
1259,b21149673x,yes,ML128.R28 G73 2016,Gray,,957617641,"Sc *782-42-G (Gray, J. Hip-hop studies);""JME 16-814""",,,,,
1183,b196067376,yes,ML128.R31 G75 2012,Griscom,,743214715,JME 12-574,,,,,
0185,b108641338,yes,ML128.R6 F56 1983,Find,,NYPG84-B44249,"JMM 90-13;""Sc F 85-186""",,,,,
0597,b123522663,yes,ML128.R6 G37 1995,Gatten,,32922876,JME 96-62,,,,,
0115,b106939397,yes,ML128.R6 H63 1981,Hoffmann,,NYPG81-B3821,JMD 81-290,,,,,
0556,b12021152x,yes,ML128.R6 H63 1995,Hoffmann,,28798209,JMD 95-779,,,,,
0545,b119930171,yes,ML128.R6 L49 1994,Leyser,,30780411,JME 95-59,,,,,
0726,b137265852,yes,ML128.R6 P65 1997,Pollock,,35138480,JMF 98-608,,,,,
0381,b11495768x,yes,ML128.R65 C66 1990,Cooper,,NYPG91-B67441,JND 91-53,,,,,
0632,b125803126,yes,ML128.S17 R87 1996,Rust,,34633405,JME 96-462,,,,,
0551,b120166161,yes,ML128.S295 C7 1994,Cowden,,NYPG94-B40228,JME 94-584,,,,,
0206,b109345538,yes,ML128.S295 F37 1985,Farkas,,NYPG85-B29397,JMD 85-179,,,,,
0946,b15600706x,yes,ML128.S3 B69 2003,Bradley,,51271908,JMF 03-106,,,,,
0930,b155020080,yes,ML128.S3 B7 1966,British,,NYPG02-B3639,*R-Music (British Broadcasting Corporation Library. Great Britian. Chamber music catalogue. Song indexes),,,,,
0883,b153304017,yes,ML128.S3 C37 2001,Carman,,vendorci2001042636,JMF 02-371,,,,,
