,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
1288,b220168246,,ML100.S23 2019,,,1063747665,JMF 20-17,,,,,
0289,b112299787,,ML100.S637 1989,,,NYPG89-B59814,JME 89-274,,,,,
0767,b141959307,,ML1000.G78 1999,,,40331101,JME 99-546,,,,,
0263,b111356106,yes,ML101.G7 S64 1984,Spiegl,,NYPG87-B89717,JMD 88-29,,,,,
0323,b199905939,yes,ML101.I73 W55 2013,"Ireland, White",TRUE,868069038,JME 14-134,,,,,
1214,b199738051,yes,ML101.L38 E53 2013,"Latin America, Encyclopedia",,749872871,JMF 13-470,,,,,
1234,b203132312,yes,ML101.L38 L37 2014,,,864789881,JMF 14-228,,,,,
0243,b145281413,yes,ML101.S7 D53,Diccionario,TRUE,43700377,JMM 00-47,,,,,
1160,b188434719,yes,ML101.U6 E53 2011,Encyclodpedia,,664451052,JNF 11-260,,,,,
0150,b120217843,yes,ML101.U6 F54 1994,Figueroa,TRUE,32210517,JNE 95-68,,,,,
1217,b199907973,yes,ML101.U6 M87 2013,Music,,805057450,JNF 14-1,,,,,
1205,b198009550,yes,ML101.U6 N48 2013,,,774021205,"*R-RMRR ML101.U6 N48 2013;""JNF 13-131""",,,,,
0091,b105629662,Yes,ML102.B5 W34,Walker,,NYPG794364275-B,JNF 79-92,,,,,
1018,b161899511,Yes,ML102.B6 E539 2006,Encyclopedia,,vendor,"Sc *781.643-E (Encyclopedia of the blues);""JMF 06-20""",,,,,
0028,b106149003,Yes,ML102.B6 H37 1979,Harris,TRUE,NYPG804011055-B,JNF 80-9,,,,,
0439,b116838383,Yes,ML102.B6 H39 1992,Herzhaft,,NYPG93-B7309,"*L 93-107;""JNE 16-24""",,,,,
0689,b133298553,Yes,ML102.B6 H39 1997,Herzhaft,,36423514,"Sc *781.643-H (Herzhaft, G. Encyclopedia of the blues);""JMF 97-792""",,,,,
