907$a,998$a,998$d
.b196326370,mai,h  
.b196326382,mai,h  
.b196326394,mai,h  
.b196326400,mai,h  
.b196326412,mai,h  
.b196326424,mai,h  
.b196326436,mai,h  
.b196326448,mai,h  
.b19632645x,mai,h  
.b196326461,mai,h  
.b196326473,mai,h  
.b196326485,mai,h  
.b196326497,mai,h  
.b196326503,mai,h  
.b196326515,mai,h  
.b196326527,mai,h  
.b196326539,mai,h  
.b196326540,mai,h  
.b196326552,mai,h  
.b196326564,mai,h  
.b196326576,mai,h  
.b196326588,mai,h  
.b19632659x,mai,h  
.b196326606,mai,h  
.b196326618,mai,h  
.b19632662x,mai,h  
.b196326631,mai,h  
.b196326643,mai,h  
.b196326655,mai,h  
.b196326667,mai,h  
.b196326679,mai,h  
.b196326680,mai,h  
.b196326692,mai,h  
.b196326709,mai,h  
.b196326710,mai,h  
.b196326722,mai,h  
.b196326734,mai,h  
.b196326746,mai,h  
.b196326758,mai,h  
.b19632676x,mai,h  
.b196326771,mai,h  
.b196326783,mai,h  
.b196326795,mai,h  
.b196326801,mai,h  
.b196326813,mai,h  
.b196326825,mai,h  
.b196326837,mai,h  
.b196326849,mai,h  
.b196326850,mai,h  
.b196326862,mai,h  
.b196326874,mai,h  
.b196326886,mai,h  
.b196326898,mai,h  
.b196326904,mai,h  
.b196326916,mai,h  
.b196326928,mai,h  
.b19632693x,mai,h  
.b196326941,mai,h  
.b196326953,mai,h  
.b196326965,mai,h  
.b196326977,mai,h  
.b196326989,mai,h  
.b196326990,mai,h  
.b196327003,mai,h  
.b196327015,mai,h  
.b196327027,mai,h  
.b196327039,mai,h  
.b196327040,mai,h  
.b196327052,mai,h  
.b196327064,mai,h  
.b196327076,mai,h  
.b196327088,mai,h  
.b19632709x,mai,h  
.b196327106,mai,h  
.b196327118,mai,h  
.b19632712x,mai,h  
.b196327131,mai,h  
.b196327143,mai,h  
.b196327155,mai,h  
.b196327167,mai,h  
.b196327179,mai,h  
.b196327180,mai,h  
.b196327192,mai,h  
.b196327209,mai,h  
.b196327210,mai,h  
.b196327222,mai,h  
.b196327234,mai,h  
.b196327246,mai,h  
.b196327258,mai,h  
.b19632726x,mai,h  
.b196327271,mai,h  
.b196327283,mai,h  
.b196327295,mai,h  
.b196327301,mai,h  
.b196327313,mai,h  
.b196327325,mai,h  
.b196327337,mai,h  
.b196327349,mai,h  
.b196327350,mai,h  
.b196327362,mai,h  
.b196327374,mai,h  
.b196327386,mai,h  
.b196327398,mai,h  
.b196327404,mai,h  
.b196327416,mai,h  
.b196327428,mai,h  
.b19632743x,mai,h  
.b196327441,mai,h  
.b196327453,mai,h  
.b196327465,mai,h  
.b196327477,mai,h  
.b196327489,mai,h  
.b196327490,mai,h  
.b196327507,mai,h  
.b196327519,mai,h  
.b196327520,mai,h  
.b196327532,mai,h  
.b196327544,mai,h  
.b196327556,mai,h  
.b196327568,mai,h  
.b19632757x,mai,h  
.b196327581,mai,h  
.b196327593,mai,h  
.b19632760x,mai,h  
.b196327611,mai,h  
.b196327623,mai,h  
.b196327635,mai,h  
.b196327647,mai,h  
.b196327659,mai,h  
.b196327660,mai,h  
.b196327672,mai,h  
.b196327684,mai,h  
.b196327696,mai,h  
.b196327702,mai,h  
.b196327714,mai,h  
.b196327726,mai,h  
.b196327738,mai,h  
.b19632774x,mai,h  
.b196327751,mai,h  
.b196327763,mai,h  
.b196327775,mai,h  
.b196327787,mai,h  
.b196327799,mai,h  
.b196327805,mai,h  
.b196327817,mai,h  
.b196327829,mai,h  
.b196327830,mai,h  
.b196327842,mai,h  
.b196327854,mai,h  
.b196327866,mai,h  
.b196327878,mai,h  
.b19632788x,mai,h  
.b196327891,mai,h  
.b196327908,mai,h  
.b19632791x,mai,h  
.b196327921,mai,h  
.b196327933,mai,h  
.b196327945,mai,h  
.b196327957,mai,h  
.b196327969,mai,h  
.b196327970,mai,h  
.b196327982,mai,h  
.b196327994,mai,h  
.b196328007,mai,h  
.b196328019,mai,h  
.b196328020,mai,h  
.b196328032,mai,h  
.b196328044,mai,h  
.b196328056,mai,h  
.b196328068,mai,h  
.b19632807x,mai,h  
.b196328329,mai,h  
.b196328330,mai,h  
.b196462101,mai,h  
.b196462113,mai,h  
.b196462125,mai,h  
.b196462137,mai,h  
.b196462149,mai,h  
.b196462150,mai,h  
.b196462162,mai,h  
.b196462174,mai,h  
.b196462186,mai,h  
.b196462198,mai,h  
.b196462204,mai,h  
.b196462216,mai,h  
.b196462228,mai,h  
.b19646223x,mai,h  
.b196462241,mai,h  
.b196462253,mai,h  
.b196462265,mai,h  
.b196462277,mai,h  
.b196462289,mai,h  
.b196462290,mai,h  
.b196462307,mai,h  
.b196462320,mai,h  
.b196462332,mai,h  
.b196462344,mai,h  
.b196462356,mai,h  
.b196462368,mai,h  
.b19646237x,mai,h  
.b196462381,mai,h  
.b196462393,mai,h  
.b19646240x,mai,h  
.b196462411,mai,h  
.b196462423,mai@ia,h  
.b196462435,mai,h  
.b196462447,mai,h  
.b196462459,mai,h  
.b196462460,mai,h  
.b196462472,mai,h  
.b196462484,mai,h  
.b196462496,mai,h  
.b196462502,mai,h  
.b196462514,mai,h  
.b196462526,mai,h  
.b196462538,mai,h  
.b19646254x,mai,h  
.b196462551,mai,h  
.b196462563,mai,h  
.b196462575,mai,h  
.b196462587,mai,h  
.b196462599,mai,h  
.b196462605,mai,h  
.b196462617,mai,h  
.b196462629,mai,h  
.b196462630,mai,h  
.b196462642,mai,h  
.b196462654,mai,h  
.b196462666,mai,h  
.b196462678,mai,h  
.b19646268x,mai,h  
.b196462691,mai,h  
.b196462708,mai,h  
.b19646271x,mai,h  
.b196462721,mai,h  
.b196462733,mai,h  
.b196462745,mai,h  
.b196462757,mai,h  
.b196462769,mai,h  
.b196462770,mai,h  
.b196462782,mai,h  
.b196462794,mai,h  
.b196462800,mai,h  
.b196462812,mai,h  
.b196462824,mai,h  
.b196462836,mai,h  
.b196462848,mai,h  
