747277,*MX-Amer. (Still. Danzas de Panama),src/files/NYPLFlourishBibsMullin2022January-1.mrc
6126187,*MX-Amer. (Still. Miniatures),src/files/NYPLFlourishBibsMullin2022January-1.mrc
17715515,*MX-Amer. (Still. Wood notes),src/files/NYPLFlourishBibsMullin2022January-1.mrc
24059440,*MX-Amer. (Tenney. Seeds),src/files/NYPLFlourishBibsMullin2022January-1.mrc
13212713,*MX-Amer. (Giuffre. Fun),src/files/NYPLFlourishBibsMullin2022January-1.mrc
17892414,*MX-Amer. (Giuffre. Suspensions),src/files/NYPLFlourishBibsMullin2022January-1.mrc
23530251,"*MX-Amer. (Lewis, J. Two degrees east, three degrees west)",src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292366825,"*MX-Amer. (Lewis, J. Original sin)",src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292403474,"*MX-Amer. (Lewis, J. Polchinella)",src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292393669,"*MX-Amer. (Mamlok. String quartet, 1962)",src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292393664,*MX-Amer. (Risher. Andante religioso),src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292366812,*MX-Amer. (Risher. Berceuse),src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292393615,*MX-Amer. (Risher. From the West),src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292354877,"*MX-Amer. (Simons. Quartet for flute, violin, viola, cello )",src/files/NYPLFlourishBibsMullin2022January-1.mrc
1292366826,*MX-Amer. (Simons. Quintet),src/files/NYPLFlourishBibsMullin2022January-1.mrc
782428,*MX-Amer. (Boeringer. Dance suite),src/files/NYPLFlourishBibsMullin2022January-3.mrc
12150894,*MX-Amer. (Borden. Le tombeau de Josquin),src/files/NYPLFlourishBibsMullin2022January-3.mrc
9636367,*MX-Amer. (Borowski. Moods),src/files/NYPLFlourishBibsMullin2022January-3.mrc
83731210,*MX-Amer. (Bottje. 2nd string quartet),src/files/NYPLFlourishBibsMullin2022January-3.mrc
