b171883895,"sabre dance,",,,,[],[],[]
b171887980,rock 'n' roll is here to stay.,,,,[],[],['HL00490074']
b171889320,rockabilly.,,,,['0793516323'],['7399911583'],['HL00311583']
b171900935,recent rock,,,,[],[],[]
b171901496,rare rock & roll,,,,[],['2820771081'],['071081']
b171904163,the nashville dream.,,,,['0711934525'],['780711934528'],['AM91209']
b171905015,"the rock singer's songbook for auditions and performance, male.",,,,[],[],['VF1387']
b171905027,orchester-probespiel kontrabass,,,,[],[],['ED 7854']
b17190509x,rod stewart storyteller.,,,,['0793500311'],['7399990408'],['HL00490408 :']
b171908958,top hits of 1994.,,,,['0793537606'],['7399911697'],['HL00311697']
b171918228,soprano arias from oratorios,,,,[],[],[]
b171921732,song anthology one,,,,['0960229639'],[],[]
b171922165,songs and photos from woodstock,,,,[],[],[]
b171953290,archy and mehitabel,,,,[],[],['9426-67']
b171956308,songs from the golden eras 1950-1969.,,,,[],[],[]
b171959942,solid gold rock & roll.,,,,[],[],[]
b17196018x,she's got the blues.,,,,['0793515572'],['7399911579'],['HL00311579']
b171962953,smash hits for the 4 seasons.,,,,[],[],[]
b171982782,a selective musical collection of the world's greatest hits of the sixties,,,,[],[],[]
b171982812,a selective musical collection of the world's greatest hits of the forties;,,,,[],[],[]
b171982861,a selective musical collection of the world's greatest hits of the fifties;,,,,[],[],[]
b171991898,the songs of carly simon.,,,,[],[],['PO871SMX']
b17199548x,the songs of leslie bricusse.,,,,['079350841X'],['7399911511'],['HL00311511']
b172001523,songs of the 40's,,,,[],[],[]
b172004226,songs of the martyrs,,,79067624,[],[],[]
b172012867,candide,,,,[],[],['VSB 161']
b172018869,super rocker special.,,,,[],[],[]
b17202772x,soul single soul stars,,,,[],[],['F0033SM']
b17204201x,sarah vaughan sassy jazz songs.,,,,[],['2820771084'],['071084']
b172046014,standard wedding music.,,,,[],[],['KK 245']
b172046853,the songs we sang,,,64015203,['0498020509'],[],[]
b172047018,super women super stars,,,,[],[],[]
b172049568,the top 100 motown hits,,,,['0898983290'],[],['F2315SMX']
b172049647,the top 100 pop of 198889,,,,[],[],['F2936SMX']
b172052579,traditional american folk songs from the anne & frank warner collection,,59700148,84000095,"['0815623135', '0815601859']",[],[]
b172064727,today's country hits,,,,['0895247895'],['7399908358'],['02502120']
b172064776,the top country hits of the 90's,,,,[],['2915607817'],['F3393SMX']
b172065471,treasure chest of darn fool ditties.,,,,[],[],[]
b17207714x,top hits 1990-1991.,,,,[],['2318861704'],['VF1704']
b172078283,top hits of 1992-1993.,,,,[],['2318861918'],['VF1918']
b172078301,top hits of 1979,,,,[],[],['4493']
b172078337,top hits of 1988.,,,,['0881889407'],[],['HL00361358']
b172078349,top hits of 1987.,,,,[],[],['HL00361357']
b172078386,top hits of 1985.,,,,[],[],"['VF1220', 'VF1249', 'VF1271']"
b172078398,top hits of 1984.,,,,[],[],"['VF 1159', 'VF1193']"
b172078428,top hits of 1980,,,,[],[],[]
b172078465,top hits of 1992.,,,,['0793517990'],['7399911595'],['HL00311595']
b172079160,time in a bottle,,,,[],[],[]
b172080137,"there is love, there is love",,,,[],[],['SF0217']
b172081415,this is the day,,,,[],[],[]
b172083035,timeless jazz standards,,,,[],[],"['TMF0221 (bk. 1); TMF0222 (bk. 2); TMF0223 (bk. 3)', 'TMF0222 (bk. 2)', 'TMF0223 (bk. 3)']"
b172087831,top hits of 1994.,,,,['0897244427'],['2318862170'],['VF2170']
b172091871,together,,,,[],[],['L04017']
b17209995x,the top pop hits of the 90's,,,,[],[],['F3070SMX']
b172112369,the tv theme song sing-along songbook,,,84758771,['0312782152'],[],[]
b172117884,those were the days,,,,[],[],['1076']
b172118359,those wonderful years,,,,[],[],[]
b172125790,the ultimate jazz fakebook,,,,['0881889792'],[],['HL00240079']
b172137846,"the very best of the super stars, v. 2",,,,[],[],[]
b172152495,vocal selections from that's entertainment;,,,74019587,[],[],[]
b172158369,wedding and love songs for guitar,,,,[],[],[]
b172164035,warner bros. golden anniversary;,,,,[],[],[]
b172164321,world's best loved italian songs,,,,[],[],['F2016SMX']
b17216736x,world charts presents the irish songbook,,,,[],[],[]
b172169884,the walt disney song book.,,,79155676,[],[],[]
b172172007,world's favorite album of wedding songs,,,,[],[],[]
b172172196,the wedding fake book,,,,[],[],['F3101FBX']
b172173942,world's favorite wedding music for all organs,,,,[],[],[]
b172174211,a wedding garland,,,,[],[],"['ED. 3088', '47681']"
b172174326,the world's greatest encores.,,,,[],[],[]
b172177923,on a clear day you can see forever.,,,67055035,[],[],[]
b172182992,the songs of burton lane.,,,,['0793500850'],['7399990474'],['HL00490474']
b172184459,wedding music for piano,,,,[],[],[]
b172184472,wedding music for the organ,,,,[],[],"['HF-5003', '3641']"
